// Radical name dictionary (v0.9)
⾩	fù	Kangxi radical number 170NAME 双耳刀 shuāngěrdāo·左耳刀 zuǒěrdāoVARIANTS ⻕·⻖·阜·阝·𨸏STANDALONE 阜MEANING moundEXAMPLES 阞·阡·阢MNEMONIC  Represents steps coming down from a city, or possiby a wallRANK 5.2%NOTES  Rare variant.  If one things of something like the great wall as the ultimate mound, a lot of the characters under this radical make quite a bit of senseHOMEPAGE ► 偏旁
隶	lì	Variant of radical ⾪ (slave)EXAMPLES 𨽻·隷·隸HOMEPAGE ► 偏旁
⾪	lì	Kangxi radical number 171NAME  VARIANTS 隶STANDALONE 隶MEANING slaveEXAMPLES 𨽻·隷·隸MNEMONIC  a subordinate who has a futile 柰 life with a broom 隶RANK 5.2%HOMEPAGE ► 偏旁
隹	zhuī	Variant of radical ⾫ (short-tailed bird)EXAMPLES 隻·隼·隽HOMEPAGE ► 偏旁
隹字旁	zhūizìpáng	Name of radical number 172 ⾫MEANING short-tailed birdEXAMPLES 隻·隼·隽HOMEPAGE ► 偏旁
⾫	zhuī	Kangxi radical number 172NAME 隹字旁 zhūizìpángVARIANTS 隹STANDALONE 隹MEANING short-tailed birdEXAMPLES 隻·隼·隽MNEMONIC  A small bird, wings outstretchedRANK 72.5%NOTES  Smaller birds are under this radical, as are a lot of characters which don't immediately make one think of birds.HOMEPAGE ► 偏旁
⻗	yǔ	Variant of radical ⾬ (rain)EXAMPLES 雩·雪·雯HOMEPAGE ► 偏旁
雨	yǔ	Variant of radical ⾬ (rain)EXAMPLES 雩·雪·雯HOMEPAGE ► 偏旁
雨字头	yǔzìtóu	Name of radical number 173 ⾬MEANING rainEXAMPLES 雩·雪·雯HOMEPAGE ► 偏旁
⾬	yǔ	Kangxi radical number 173NAME 雨字头 yǔzìtóuVARIANTS ⻗·雨STANDALONE 雨MEANING rainEXAMPLES 雩·雪·雯MNEMONIC  Rain drops falling from skyRANK 81.2%NOTES  Characters representing various climate and weather conditions are represented hereHOMEPAGE ► 偏旁
⻘	qīng	Variant of radical ⾭ (blue)EXAMPLES 靖·静·靚HOMEPAGE ► 偏旁
靑	qīng	Variant of radical ⾭ (blue)EXAMPLES 靖·静·靚HOMEPAGE ► 偏旁
青	qīng	Variant of radical ⾭ (blue)EXAMPLES 靖·静·靚HOMEPAGE ► 偏旁
青字旁	qīngzìpáng	Name of radical number 174 ⾭MEANING blueEXAMPLES 靖·静·靚HOMEPAGE ► 偏旁
⾭	qīng	Kangxi radical number 174NAME 青字旁 qīngzìpángVARIANTS ⻘·靑·青STANDALONE 青MEANING blueEXAMPLES 靖·静·靚MNEMONIC  grass 生 around a well 井 (not 月)RANK 0.0%HOMEPAGE ► 偏旁
非	fēi	Variant of radical ⾮ (wrong)EXAMPLES 靟·靠·靡HOMEPAGE ► 偏旁
⾮	fēi	Kangxi radical number 175NAME  VARIANTS 非STANDALONE 非MEANING wrongEXAMPLES 靟·靠·靡MNEMONIC  outward turned (broken) wings which do not functionRANK 35.0%DISTINGHUISH FROM 韭HOMEPAGE ► 偏旁
面	miàn	Variant of radical ⾯ (face)EXAMPLES 靤·靦·靧HOMEPAGE ► 偏旁
靣	miàn	Variant of radical ⾯ (face)EXAMPLES 靤·靦·靧HOMEPAGE ► 偏旁
⾯	miàn	Kangxi radical number 176NAME  VARIANTS 面·靣STANDALONE 面MEANING faceEXAMPLES 靤·靦·靧MNEMONIC  a face with an eye 目 in the middleRANK 5.2%HOMEPAGE ► 偏旁
革	gé	Variant of radical ⾰ (leather)EXAMPLES 靭·靮·靳HOMEPAGE ► 偏旁
⾰	gé	Kangxi radical number 177NAME  VARIANTS 革STANDALONE 革MEANING leatherEXAMPLES 靭·靮·靳MNEMONIC  Represents a spread out animal skinRANK 67.7%NOTES  Leather goods are categorized under this radicalHOMEPAGE ► 偏旁
⻙	wéi	Variant of radical ⾱ (tanned leather)EXAMPLES 韌·韍·韎HOMEPAGE ► 偏旁
韋	wéi	Variant of radical ⾱ (tanned leather)EXAMPLES 韌·韍·韎HOMEPAGE ► 偏旁
韦	wéi	Variant of radical ⾱ (tanned leather)EXAMPLES 韌·韍·韎HOMEPAGE ► 偏旁
⾱	wéi	Kangxi radical number 178NAME  VARIANTS ⻙·韋·韦STANDALONE 韦MEANING tanned leatherEXAMPLES 韌·韍·韎HOMEPAGE ► 偏旁
韭	jiǔ	Variant of radical ⾲ (leek)EXAMPLES 韰·韲·䪢HOMEPAGE ► 偏旁
⾲	jiǔ	Kangxi radical number 179NAME  VARIANTS 韭STANDALONE 韭MEANING leekEXAMPLES 韰·韲·䪢MNEMONIC  an ideograph of leeksRANK 5.2%DISTINGHUISH FROM 非HOMEPAGE ► 偏旁
音	yīn	Variant of radical ⾳ (sound)EXAMPLES 竟·章·韵HOMEPAGE ► 偏旁
⾳	yīn	Kangxi radical number 180NAME  VARIANTS 音STANDALONE 音MEANING soundEXAMPLES 竟·章·韵MNEMONIC  a mouth with something in it and a tongue sticking out with something on itRANK 44.4%HOMEPAGE ► 偏旁
⻚	yè	Variant of radical ⾴ (leaf)EXAMPLES 頂·頃·頄HOMEPAGE ► 偏旁
頁	yè	Variant of radical ⾴ (leaf)EXAMPLES 頂·頃·頄HOMEPAGE ► 偏旁
页	yè	Variant of radical ⾴ (leaf)EXAMPLES 頂·頃·頄HOMEPAGE ► 偏旁
页字旁	yèzìpáng	Name of radical number 181 ⾴MEANING leafEXAMPLES 頂·頃·頄HOMEPAGE ► 偏旁
⾴	yè	Kangxi radical number 181NAME 页字旁 yèzìpángVARIANTS ⻚·頁·页STANDALONE 页MEANING leafEXAMPLES 頂·頃·頄HOMEPAGE ► 偏旁
⻛	fēng	Variant of radical ⾵ (wind)EXAMPLES 颩·颭·颮HOMEPAGE ► 偏旁
風	fēng	Variant of radical ⾵ (wind)EXAMPLES 颩·颭·颮HOMEPAGE ► 偏旁
风	fēng	Variant of radical ⾵ (wind)EXAMPLES 颩·颭·颮HOMEPAGE ► 偏旁
⾵	fēng	Kangxi radical number 182NAME  VARIANTS ⻛·風·风STANDALONE 风MEANING windEXAMPLES 颩·颭·颮HOMEPAGE ► 偏旁
⻜	fēi	Variant of radical ⾶ (fly)EXAMPLES 䬡·飜·飝HOMEPAGE ► 偏旁
飛	fēi	Variant of radical ⾶ (fly)EXAMPLES 䬡·飜·飝HOMEPAGE ► 偏旁
飞	fēi	Variant of radical ⾶ (fly)EXAMPLES 䬡·飜·飝HOMEPAGE ► 偏旁
⾶	fēi	Kangxi radical number 183NAME  VARIANTS ⻜·飛·飞STANDALONE 飞MEANING flyEXAMPLES 䬡·飜·飝HOMEPAGE ► 偏旁
⻝	shí	Variant of radical ⾷ (eat)EXAMPLES 飡·飢·飣HOMEPAGE ► 偏旁
⻞	shí	Variant of radical ⾷ (eat)EXAMPLES 飡·飢·飣HOMEPAGE ► 偏旁
⻟	shí	Variant of radical ⾷ (eat)EXAMPLES 飡·飢·飣HOMEPAGE ► 偏旁
⻠	shí	Variant of radical ⾷ (eat)EXAMPLES 飡·飢·飣HOMEPAGE ► 偏旁
食	shí	Variant of radical ⾷ (eat)EXAMPLES 飡·飢·飣HOMEPAGE ► 偏旁
飠	shí	Variant of radical ⾷ (eat)EXAMPLES 飡·飢·飣HOMEPAGE ► 偏旁
饣	shí	Variant of radical ⾷ (eat)EXAMPLES 飡·飢·飣HOMEPAGE ► 偏旁
𩙿	shí	Variant of radical ⾷ (eat)EXAMPLES 飡·飢·飣HOMEPAGE ► 偏旁
食字旁	shízìpáng	Name of radical number 184 ⾷MEANING eatEXAMPLES 飡·飢·飣HOMEPAGE ► 偏旁
⾷	shí	Kangxi radical number 184NAME 食字旁 shízìpángVARIANTS ⻝·⻞·⻟·⻠·食·飠·饣·𩙿STANDALONE 食MEANING eatEXAMPLES 飡·飢·飣MNEMONIC  a man's mouth 亼 over a bowl of rice on a stand 皀 (the two dots combine). Note the lower part is not 艮RANK 20.1%NOTES  Many types of food and mealtime activities are encompassed by characters with this radicalHOMEPAGE ► 偏旁
⻡	shǒu	Variant of radical ⾸ (head)EXAMPLES 馗·䭫·馘HOMEPAGE ► 偏旁
首	shǒu	Variant of radical ⾸ (head)EXAMPLES 馗·䭫·馘HOMEPAGE ► 偏旁
𩠐	shǒu	Variant of radical ⾸ (head)EXAMPLES 馗·䭫·馘HOMEPAGE ► 偏旁
⾸	shǒu	Kangxi radical number 185NAME  VARIANTS ⻡·首·𩠐STANDALONE 首MEANING headEXAMPLES 馗·䭫·馘MNEMONIC  a head like 頁 but with hair on topRANK 20.1%HOMEPAGE ► 偏旁
香	xiāng	Variant of radical ⾹ (fragrant)EXAMPLES 馝·馞·馡HOMEPAGE ► 偏旁
⾹	xiāng	Kangxi radical number 186NAME  VARIANTS 香STANDALONE 香MEANING fragrantEXAMPLES 馝·馞·馡MNEMONIC  represents nice food going in the mouthRANK 5.2%HOMEPAGE ► 偏旁
⻢	mǎ	Variant of radical ⾺ (horse)EXAMPLES 馭·馮·馯HOMEPAGE ► 偏旁
馬	mǎ	Variant of radical ⾺ (horse)EXAMPLES 馭·馮·馯HOMEPAGE ► 偏旁
马	mǎ	Variant of radical ⾺ (horse)EXAMPLES 馭·馮·馯HOMEPAGE ► 偏旁
马字旁	mǎzìpáng	Name of radical number 187 ⾺MEANING horseEXAMPLES 馭·馮·馯HOMEPAGE ► 偏旁
⾺	mǎ	Kangxi radical number 187NAME 马字旁 mǎzìpángVARIANTS ⻢·馬·马STANDALONE 马MEANING horseEXAMPLES 馭·馮·馯HOMEPAGE ► 偏旁
⻣	gǔ	Variant of radical ⾻ (bone)EXAMPLES 骫·骭·骯HOMEPAGE ► 偏旁
骨	gǔ	Variant of radical ⾻ (bone)EXAMPLES 骫·骭·骯HOMEPAGE ► 偏旁
⾻	gǔ	Kangxi radical number 188NAME  VARIANTS ⻣·骨STANDALONE 骨MEANING boneEXAMPLES 骫·骭·骯MNEMONIC  scapula with the meat radical (moon variant)RANK 35.0%NOTES  Characters under this radical cover various body parts, and not surprisingly, bones.  Things associated with bones are also covered such as 骯髒 and 骴. Simplification has occasionally replaced 骨 with the standing meat radical (月)HOMEPAGE ► 偏旁
高	gāo	Variant of radical ⾼ (tall)EXAMPLES 髚·髛·𩫛HOMEPAGE ► 偏旁
髙	gāo	Variant of radical ⾼ (tall)EXAMPLES 髚·髛·𩫛HOMEPAGE ► 偏旁
⾼	gāo	Kangxi radical number 189NAME  VARIANTS 高·髙STANDALONE 高MEANING tallEXAMPLES 髚·髛·𩫛MNEMONIC  represents a high buildingRANK 5.2%HOMEPAGE ► 偏旁
髟	biāo	Variant of radical ⾽ (hair)EXAMPLES 髠·髡·髢HOMEPAGE ► 偏旁
⾽	biāo	Kangxi radical number 190NAME  VARIANTS 髟STANDALONE 髟MEANING hairEXAMPLES 髠·髡·髢MNEMONIC  長 long hair and 彡 more hairRANK 20.1%NOTES  Not surprisingly, shows up in characters describing all things hairyHOMEPAGE ► 偏旁
鬥	dòu	Variant of radical ⾾ (fight)EXAMPLES 鬦·鬧·鬨HOMEPAGE ► 偏旁
⾾	dòu	Kangxi radical number 191NAME  VARIANTS 鬥MEANING fightEXAMPLES 鬦·鬧·鬨HOMEPAGE ► 偏旁
鬯	chàng	Variant of radical ⾿ (sacrificial wine)EXAMPLES 鬰·鬱HOMEPAGE ► 偏旁
⾿	chàng	Kangxi radical number 192NAME  VARIANTS 鬯STANDALONE 鬯MEANING sacrificial wineEXAMPLES 鬰·鬱MNEMONIC  a container of riceRANK 20.1%HOMEPAGE ► 偏旁
鬲	lì	Variant of radical ⿀ (cauldron)EXAMPLES 鬳·鬴·鬵HOMEPAGE ► 偏旁
⿀	lì	Kangxi radical number 193NAME  VARIANTS 鬲STANDALONE 鬲MEANING cauldronEXAMPLES 鬳·鬴·鬵MNEMONIC  three legged cauldronRANK 5.2%HOMEPAGE ► 偏旁
⻤	guǐ	Variant of radical ⿁ (ghost)EXAMPLES 鬾·魁·魂HOMEPAGE ► 偏旁
鬼	guǐ	Variant of radical ⿁ (ghost)EXAMPLES 鬾·魁·魂HOMEPAGE ► 偏旁
⿁	guǐ	Kangxi radical number 194NAME  VARIANTS ⻤·鬼STANDALONE 鬼MEANING ghostEXAMPLES 鬾·魁·魂MNEMONIC  A man (goblin) with an ugly head and a tailRANK 59.0%NOTES  Otherworldy things tend to be represented by this radicalHOMEPAGE ► 偏旁
⻥	yú	Variant of radical ⿂ (fish)EXAMPLES 魟·魠·魦HOMEPAGE ► 偏旁
魚	yú	Variant of radical ⿂ (fish)EXAMPLES 魟·魠·魦HOMEPAGE ► 偏旁
鱼	yú	Variant of radical ⿂ (fish)EXAMPLES 魟·魠·魦HOMEPAGE ► 偏旁
⿂	yú	Kangxi radical number 195NAME  VARIANTS ⻥·魚·鱼STANDALONE 鱼MEANING fishEXAMPLES 魟·魠·魦HOMEPAGE ► 偏旁
⻦	niǎo	Variant of radical ⿃ (bird)EXAMPLES 鳦·鳧·鳩HOMEPAGE ► 偏旁
鳥	niǎo	Variant of radical ⿃ (bird)EXAMPLES 鳦·鳧·鳩HOMEPAGE ► 偏旁
鸟	niǎo	Variant of radical ⿃ (bird)EXAMPLES 鳦·鳧·鳩HOMEPAGE ► 偏旁
鸟字旁	niǎozìpáng	Name of radical number 196 ⿃MEANING birdEXAMPLES 鳦·鳧·鳩HOMEPAGE ► 偏旁
⿃	niǎo	Kangxi radical number 196NAME 鸟字旁 niǎozìpángVARIANTS ⻦·鳥·鸟STANDALONE 鸟MEANING birdEXAMPLES 鳦·鳧·鳩HOMEPAGE ► 偏旁
⻧	lǔ	Variant of radical ⿄ (salt)EXAMPLES 鹹·鹺·鹼HOMEPAGE ► 偏旁
卤	lǔ	Variant of radical ⿄ (salt)EXAMPLES 鹹·鹺·鹼HOMEPAGE ► 偏旁
鹵	lǔ	Variant of radical ⿄ (salt)EXAMPLES 鹹·鹺·鹼HOMEPAGE ► 偏旁
⿄	lǔ	Kangxi radical number 197NAME  VARIANTS ⻧·卤·鹵STANDALONE 卤MEANING saltEXAMPLES 鹹·鹺·鹼HOMEPAGE ► 偏旁
鹿	lù	Variant of radical ⿅ (deer)EXAMPLES 麀·麁·麂HOMEPAGE ► 偏旁
⿅	lù	Kangxi radical number 198NAME  VARIANTS 鹿STANDALONE 鹿MEANING deerEXAMPLES 麀·麁·麂MNEMONIC  primitive of an antlered deer - see seal charactersRANK 20.1%NOTES  Denotes the most attractive aspects of the wilderness and wild thingsHOMEPAGE ► 偏旁
⻨	mài	Variant of radical ⿆ (wheat)EXAMPLES 麨·麩·麪HOMEPAGE ► 偏旁
麥	mài	Variant of radical ⿆ (wheat)EXAMPLES 麨·麩·麪HOMEPAGE ► 偏旁
麦	mài	Variant of radical ⿆ (wheat)EXAMPLES 麨·麩·麪HOMEPAGE ► 偏旁
⿆	mài	Kangxi radical number 199NAME  VARIANTS ⻨·麥·麦STANDALONE 麦MEANING wheatEXAMPLES 麨·麩·麪HOMEPAGE ► 偏旁
麻	má	Variant of radical ⿇ (hemp)EXAMPLES 麼·麾·黁HOMEPAGE ► 偏旁
⿇	má	Kangxi radical number 200NAME  VARIANTS 麻STANDALONE 麻MEANING hempEXAMPLES 麼·麾·黁MNEMONIC  hemp (from 痲) in the barn  广 - separate etymology from 林RANK 5.2%HOMEPAGE ► 偏旁
⻩	huáng	Variant of radical ⿈ (yellow)EXAMPLES 黈·䵍·黌HOMEPAGE ► 偏旁
黃	huáng	Variant of radical ⿈ (yellow)EXAMPLES 黈·䵍·黌HOMEPAGE ► 偏旁
黄	huáng	Variant of radical ⿈ (yellow)EXAMPLES 黈·䵍·黌HOMEPAGE ► 偏旁
⿈	huáng	Kangxi radical number 201NAME  VARIANTS ⻩·黃·黄STANDALONE 黄MEANING yellowEXAMPLES 黈·䵍·黌MNEMONIC  a man 大 with a (yellow) pendant, now 璜RANK 5.2%HOMEPAGE ► 偏旁
黍	shǔ	Variant of radical ⿉ (millet)EXAMPLES 黎·黏·黐HOMEPAGE ► 偏旁
⿉	shǔ	Kangxi radical number 202NAME  VARIANTS 黍STANDALONE 黍MEANING milletEXAMPLES 黎·黏·黐MNEMONIC  grain 禾 that grows by water 水RANK 5.2%HOMEPAGE ► 偏旁
黑	hēi	Variant of radical ⿊ (black)EXAMPLES 墨·黓·黔HOMEPAGE ► 偏旁
黒	hēi	Variant of radical ⿊ (black)EXAMPLES 墨·黓·黔HOMEPAGE ► 偏旁
⿊	hēi	Kangxi radical number 203NAME  VARIANTS 黑·黒STANDALONE 黑MEANING blackEXAMPLES 墨·黓·黔MNEMONIC  black from charcoal grain in an air tight container over a fire, in early forms the bottom half was more clearly 炎RANK 84.3%NOTES  Primary form.  Opposite of 白, blackness can often add dark connotations to many charactersHOMEPAGE ► 偏旁
黹	zhǐ	Variant of radical ⿋ (embroidery)EXAMPLES 黺·黻·黼HOMEPAGE ► 偏旁
⿋	zhǐ	Kangxi radical number 204NAME  VARIANTS 黹STANDALONE 黹MEANING embroideryEXAMPLES 黺·黻·黼MNEMONIC  primitive of embroideryRANK 44.4%HOMEPAGE ► 偏旁
⻪	mǐn	Variant of radical ⿌ (frog)EXAMPLES 黿·鼀·鼁HOMEPAGE ► 偏旁
黽	mǐn	Variant of radical ⿌ (frog)EXAMPLES 黿·鼀·鼁HOMEPAGE ► 偏旁
黾	mǐn	Variant of radical ⿌ (frog)EXAMPLES 黿·鼀·鼁HOMEPAGE ► 偏旁
⿌	mǐn	Kangxi radical number 205NAME  VARIANTS ⻪·黽·黾STANDALONE 黾MEANING frogEXAMPLES 黿·鼀·鼁HOMEPAGE ► 偏旁
鼎	dǐng	Variant of radical ⿍ (tripod)EXAMPLES 鼏·鼐·鼒HOMEPAGE ► 偏旁
⿍	dǐng	Kangxi radical number 206NAME  VARIANTS 鼎STANDALONE 鼎MEANING tripodEXAMPLES 鼏·鼐·鼒MNEMONIC  a bronze tripod with two earsRANK 35.0%HOMEPAGE ► 偏旁
鼓	gǔ	Variant of radical ⿎ (drum)EXAMPLES 鼕·鼖·鼗HOMEPAGE ► 偏旁
⿎	gǔ	Kangxi radical number 207NAME  VARIANTS 鼓STANDALONE 鼓MEANING drumEXAMPLES 鼕·鼖·鼗MNEMONIC  a drum 口 left and right ends with base and feathers on top 土 hit with stick 支RANK 35.0%HOMEPAGE ► 偏旁
鼠	shǔ	Variant of radical ⿏ (rat)EXAMPLES 鼢·鼥·鼩HOMEPAGE ► 偏旁
鼡	shǔ	Variant of radical ⿏ (rat)EXAMPLES 鼢·鼥·鼩HOMEPAGE ► 偏旁
⿏	shǔ	Kangxi radical number 208NAME  VARIANTS 鼠·鼡STANDALONE 鼠MEANING ratEXAMPLES 鼢·鼥·鼩MNEMONIC  A mouse with legs tail and whiskersRANK 66.3%HOMEPAGE ► 偏旁
鼻	bí	Variant of radical ⿐ (nose)EXAMPLES 鼽·鼾·齁HOMEPAGE ► 偏旁
⿐	bí	Kangxi radical number 209NAME  VARIANTS 鼻STANDALONE 鼻MEANING noseEXAMPLES 鼽·鼾·齁MNEMONIC  synonym for 自 noseRANK 44.4%HOMEPAGE ► 偏旁
⻫	qí	Variant of radical ⿑ (even)EXAMPLES 齋·齌·齍HOMEPAGE ► 偏旁
⻬	qí	Variant of radical ⿑ (even)EXAMPLES 齋·齌·齍HOMEPAGE ► 偏旁
斉	qí	Variant of radical ⿑ (even)EXAMPLES 齋·齌·齍HOMEPAGE ► 偏旁
齊	qí	Variant of radical ⿑ (even)EXAMPLES 齋·齌·齍HOMEPAGE ► 偏旁
齐	qí	Variant of radical ⿑ (even)EXAMPLES 齋·齌·齍HOMEPAGE ► 偏旁
⿑	qí	Kangxi radical number 210NAME  VARIANTS ⻫·⻬·斉·齊·齐STANDALONE 齐MEANING evenEXAMPLES 齋·齌·齍HOMEPAGE ► 偏旁
⻭	chǐ	Variant of radical ⿒ (tooth)EXAMPLES 齔·齕·齖HOMEPAGE ► 偏旁
⻮	chǐ	Variant of radical ⿒ (tooth)EXAMPLES 齔·齕·齖HOMEPAGE ► 偏旁
歯	chǐ	Variant of radical ⿒ (tooth)EXAMPLES 齔·齕·齖HOMEPAGE ► 偏旁
齒	chǐ	Variant of radical ⿒ (tooth)EXAMPLES 齔·齕·齖HOMEPAGE ► 偏旁
齿	chǐ	Variant of radical ⿒ (tooth)EXAMPLES 齔·齕·齖HOMEPAGE ► 偏旁
⿒	chǐ	Kangxi radical number 211NAME  VARIANTS ⻭·⻮·歯·齒·齿STANDALONE 齿MEANING toothEXAMPLES 齔·齕·齖HOMEPAGE ► 偏旁
⻯	lóng	Variant of radical ⿓ (dragon)EXAMPLES 龏·龑·龔HOMEPAGE ► 偏旁
⻰	lóng	Variant of radical ⿓ (dragon)EXAMPLES 龏·龑·龔HOMEPAGE ► 偏旁
竜	lóng	Variant of radical ⿓ (dragon)EXAMPLES 龏·龑·龔HOMEPAGE ► 偏旁
龍	lóng	Variant of radical ⿓ (dragon)EXAMPLES 龏·龑·龔HOMEPAGE ► 偏旁
龙	lóng	Variant of radical ⿓ (dragon)EXAMPLES 龏·龑·龔HOMEPAGE ► 偏旁
⿓	lóng	Kangxi radical number 212NAME  VARIANTS ⻯·⻰·竜·龍·龙STANDALONE 龙MEANING dragonEXAMPLES 龏·龑·龔HOMEPAGE ► 偏旁
⻱	guī	Variant of radical ⿔ (turtle)EXAMPLES 䶰·龝·龞HOMEPAGE ► 偏旁
⻲	guī	Variant of radical ⿔ (turtle)EXAMPLES 䶰·龝·龞HOMEPAGE ► 偏旁
⻳	guī	Variant of radical ⿔ (turtle)EXAMPLES 䶰·龝·龞HOMEPAGE ► 偏旁
亀	guī	Variant of radical ⿔ (turtle)EXAMPLES 䶰·龝·龞HOMEPAGE ► 偏旁
龜	guī	Variant of radical ⿔ (turtle)EXAMPLES 䶰·龝·龞HOMEPAGE ► 偏旁
龟	guī	Variant of radical ⿔ (turtle)EXAMPLES 䶰·龝·龞HOMEPAGE ► 偏旁
⿔	guī	Kangxi radical number 213NAME  VARIANTS ⻱·⻲·⻳·亀·龜·龟STANDALONE 龟MEANING turtleEXAMPLES 䶰·龝·龞HOMEPAGE ► 偏旁
龠	yuè	Variant of radical ⿕ (flute)EXAMPLES 龡·龢·龤HOMEPAGE ► 偏旁
⿕	yuè	Kangxi radical number 214NAME  VARIANTS 龠STANDALONE 龠MEANING fluteEXAMPLES 龡·龢·龤MNEMONIC  a mouth blowing 亼 a flute with holes 口, possibly pan-pipesRANK 20.0%HOMEPAGE ► 偏旁
有名字	yǒu míngzì	RADICALS WITH NAMES⼀ yīzìpáng 一字旁 one⼂ zhǔzìpáng 丶字旁 dot⼇ lìuzìtóu 六字头 lid⼈ dānlìrén 单立人 man⼈ dānrénpáng 单人旁 man⼉ érzuòdǐ 儿座底 son, legs⼊ rùzìpáng 入字旁 enter⼋ bāzìpáng 八字旁 eight⼌ tóngzìkuāng 同字匡 wide⼍ tūbǎogài 秃宝盖 cloth cover⼎ liǎngdiǎnshǔi 两点水 ice⼏ jīzìpáng 几字旁 table⼐ xiōngzìkuàng 凶字框 receptacle⼑ dāozìpáng 刀字旁 knife⼑ lìdāopáng 立刀旁 knife⼒ lìzìpáng 力字旁 power⼓ bāozìtóu 包字头 wrap⼔ bǐzìpáng 匕字旁 spoon⼕ yìzìkuàng 医字框 box⼗ shízìpáng 十字旁 ten⼙ dāněrdāo 单耳刀 seal (device)⼚ chǎngzìpáng 厂字旁 cliff⼛ sīzìpáng 私字旁 private⼜ yòuzìpáng 又字旁 again⼝ kǒuzìpáng 口字旁 mouth⼞ guózìkuàng 国字框 enclosure⼟ títǔpáng 提土旁 earth⼠ shìzìpáng 士字旁 scholar⼡ zhéwénpáng 折文旁 go⼣ xīzìpáng 夕字旁 evening⼤ dàzìpáng 大字旁 big⼥ nv̌zìpáng 女字旁 woman⼦ zǐzìpáng 子字旁 child⼧ bǎogàitóu 宝盖头 roof⼨ cùnzìpáng 寸字旁 inch⼩ dāngzìtóu 当字头 small⼫ shīzìtóu 尸字头 corpse⼭ shānzìpáng 山字旁 mountain⼯ gōngzìpáng 工字旁 work⼱ jīnzìér 巾字儿 turban⼲ gānzìpáng 干字旁 dry⼴ guǎngzìpáng 广字旁 dotted cliff⼵ jiànzhīpáng 建之旁 long stride⼶ nòngzìdǐ 弄字底 arch⼸ gōngzìpáng 弓字旁 bow⼺ sānpiěr 三撇儿 bristle⼻ shuānglìrén 双立人 step⼼ shùxīnpáng 竖心旁 heart⼽ gēzìpáng 戈字旁 halberd⼾ hùzìpáng 户字旁 door⼿ tíshǒupáng 提手旁 hand⼿ kànzìtóu 看字头 hand⽁ fǎnwénpáng 反文旁 rap, tap⽁ jìufǎnwénpáng 旧反文旁 rap, tap⽄ jīnzìpáng 斤字旁 axe⽅ fāngzìpáng 方字旁 square⽇ rìzìpáng 日字旁 sun⽉ yuèzìpáng 月字旁 moon⽊ mùzìpáng 木字旁 tree⽋ qiànzìpáng 欠字旁 lack⽌ zhǐzìpáng 止字旁 stop⽎ shūzìpáng 殳字旁 weapon⽔ sāndiǎnshǔi 三点水 water⽕ sìdiǎndǐ 四点底 fire⽕ huǒzìpáng 火字旁 fire⽖ shòuzìtóu 受字头 claw⽙ jiāngzìpáng 将字旁 split wood⽜ níuzìpáng 牛字旁 cow⽝ fǎnquǎnpáng 反犬旁 dog⽟ wángzìpáng 王字旁 jade⽥ tiánzìpáng 田字旁 field⽦ pǐzìdǐ 疋字底 bolt of cloth⽧ bìngzìpáng 病字旁 sickness⽨ dēngzìtóu 登字头 footsteps⽩ báizìpáng 白字旁 white⽪ pízìpáng 皮字旁 skin⽫ mǐnzìdǐ 皿字底 dish⽬ mùzìpáng 目字旁 eye⽯ shízìpáng 石字旁 stone⽰ shìzìpáng 示字旁 spirit⽲ hémùpáng 禾木旁 grain⽳ xuébǎogài 穴宝盖 cave⽴ lìzìpáng 立字旁 stand⽵ zhúzìtóu 竹字头 bamboo⽶ mǐzìpáng 米字旁 rice⽷ jiǎosīpáng 绞丝旁 silk⽹ sìzìtóu 四字头 net⽺ yángzìpáng 羊字旁 sheep⽻ yǔzìpáng 羽字旁 feather⽼ lǎozìtóu 老字头 old⽿ ěrzìpáng 耳字旁 ear⾆ shézìpáng 舌字旁 tongue⾈ zhōuzìpáng 舟字旁 boat⾉ gènzìpáng 艮字旁 stopping⾋ cǎozìtóu 草字头 grass⾍ chóngzìpáng 虫字旁 insect⾐ yīzìpáng 衣字旁 clothes⾒ jiànzìpáng 见字旁 see⾔ yánzìpáng 言字旁 speech⾙ bèizìpáng 贝字旁 shell⾛ zǒuzìpáng 走字旁 run⾜ zúzìpáng 足字旁 foot⾞ chēzìpáng 车字旁 cart⾟ xīnzìpáng 辛字旁 bitter⾡ zǒuzhīdǐ 走之底 walk⾢ yòuěrduǒ 右耳朵 city⾣ yǒuzìpáng 酉字旁 wine⾥ lǐzìpáng 里字旁 village⾦ jīnzìpáng 金字旁 gold⾨ ménzìkuàng 门字框 gate⾩ shuāngěrdāo 双耳刀 mound⾩ zuǒěrdāo 左耳刀 mound⾫ zhūizìpáng 隹字旁 short-tailed bird⾬ yǔzìtóu 雨字头 rain⾭ qīngzìpáng 青字旁 blue⾴ yèzìpáng 页字旁 leaf⾷ shízìpáng 食字旁 eat⾺ mǎzìpáng 马字旁 horse⿃ niǎozìpáng 鸟字旁 birdHOMEPAGE ► 偏旁
