一	nhất
咻	hưu|hủ
咽	yết|yến|ế
咿	y
哀	ai
品	phẩm
哂	sẩn
哄	hống
哆	sỉ|đá
哇	oa
哈	cáp
哉	tai
响	hưởng
哑	ách|á|nha
哓	hiêu
哔	tất
哕	uyết|hối
哗	hoa
哙	khoái
哝	nông
員	viên|vân
哥	ca
哦	nga
哨	tiếu|tiêu|sáo
哩	lý
哭	khốc (10 n)
哮	hao
哲	triết
哼	hanh
哽	ngạnh
哿	cả|khả
唁	nghiễn
唄	bái
唆	toa
唇	thần
唈	ấp
唉	ai
唏	hí|hy
唐	đường
唕	tạo
唘	khải
唠	lao
唢	tỏa
唤	hoán
唪	phủng
售	thụ
唯	duy|dụy
唱	xướng
唳	lệ
唵	úm
唾	thóa
啁	chù
啄	trác
商	thương
問	vấn
啐	thối|tối
啑	xiệp|tiệp
啓	khải
啕	đào
啖	đạm
啗	đạm
啚	bỉ|đồ
啜	xuyết
啞	ách|á|nha
啟	khải
啡	phê|phỉ
啣	hàm
啧	sách|trách
啬	sắc
啭	chuyển
啻	thí
啼	đề
啾	thu
喀	khách
喁	ngung|vu|ngu
喂	uy
喃	nam
善	thiện|thiến
喇	lạt
喈	dê
喉	hầu
喊	hảm
喋	điệp
喎	oa
喏	nhạ
喑	âm|ấm
喒	tàm|gia
喔	ác
喘	suyễn
喙	uế
喚	hoán
喜	hỉ|hí
喝	hát|ới
喞	tức
喟	vị
喤	hoàng
喧	huyên
喨	lượng
喪	tang|táng
喫	khiết
喬	kiều
喭	ngạn
單	đan|thiền|thiện
喷	phún
喻	dụ
喽	lâu
喾	khốc
嗁	đề
嗃	hạc|hao
嗄	sá|hạ|chới
嗅	khứu
嗆	sang
嗇	sắc
嗉	tố
嗌	ách
嗎	mạ
嗏	chà
嗑	hạp
嗒	tháp
嗓	tảng
嗔	sân|điền
嗚	ô
嗛	hàm|khiểm
嗜	thị
嗟	ta
嗢	ốt
嗣	tự
嗤	xuy
嗥	hào
嗩	tỏa
嗫	chiếp
嗶	tất
嗸	ngao
嗽	thấu
嗾	thốc
嘅	khái
嘆	thán
嘈	tào
嘉	gia
嘍	lâu
嘏	hỗ
嘐	hao
嘑	hô|hố
嘒	uế
嘓	quắc
嘔	ẩu
嘖	sách|trách
嘗	thường
嘘	hư
嘛	ma
嘤	anh
嘩	hoa
嘬	toát
嘮	lao
嘰	kỉ
嘱	chúc
嘲	trào
嘴	chủy
嘵	hiêu
嘶	tê
嘷	hào
嘹	liệu
嘻	hi
噀	tốn
噉	đạm
噍	tiếu|tiêu|tưu
噎	ế
噏	hấp
噐	khí
噙	cầm
噜	lỗ|rô
噢	úc|ủ
噤	cấm
噥	nông
噦	uyết|hối
器	khí
噩	ngạc
噪	táo
噫	y|ái|ức
噬	phệ
噭	khiếu
噱	cược
噲	khoái
噴	phún
噶	cát
噸	đốn
嚀	ninh
嚅	nhu
嚆	hao
嚇	hách
嚎	hào
嚏	đế|sí
嚕	lỗ|rô
嚚	ngân
嚣	hiêu
嚥	yết
嚦	lịch
嚨	lung
嚬	tần
嚮	hưởng
嚱	hi
嚲	đả
嚳	khốc
嚴	nghiêm
嚶	anh
嚷	nhượng
嚼	tước
囀	chuyển
囁	chiếp
囂	hiêu
囅	xiên
囈	nghệ
囉	la
囌	tô
囑	chúc
囓	khiết
囔	nang
囗	vi
囚	tù
四	tứ
囝	kiển|cưỡng|tể|nga|niên
回	hồi|hối
囟	tín
因	nhân
囡	niếp|nam
团	đoàn
囤	độn
囫	hốt
囬	hồi
园	viên
囮	ngoa
困	khốn
囱	song|thông
围	vi
囵	luân
囷	khuân
囹	linh
固	cố
国	quốc
图	đồ
囿	hữu
圃	phố
圄	ngữ
圅	hàm
圆	viên
圇	luân
圉	ngữ
圊	thanh
國	quốc
圌	thùy
圍	vi
圏	quyển|khuyên
園	viên
圓	viên
圖	đồ
團	đoàn
圜	viên|hoàn
圝	loan
土	thổ|độ|đỗ
圣	thánh
在	tại
圩	vu
圬	ô
圭	khuê
圮	bĩ
圯	di
地	địa
圹	khoáng
